img_idx,img_name,mean_accuracy
128,00128_pajamas/pajamas_13s.jpg,0.03874999973922968
145,00145_punch2/punch2_14s.jpg,0.03750000074505806
133,00133_pheasant/pheasant_20s.jpg,0.037500000465661286
9,00009_bassoon/bassoon_01b.jpg,0.037500000186264516
191,00191_unicycle/unicycle_10s.jpg,0.03625000072643161
6,00006_baseball_bat/baseball_bat_10s.jpg,0.03625000063329935
71,00071_egg/egg_12s.jpg,0.03625000035390258
65,00065_dragonfly/dragonfly_01b.jpg,0.03625000035390258
8,00008_basketball/basketball_05s.jpg,0.03500000042840838
90,00090_grenade/grenade_03s.jpg,0.03500000042840838
150,00150_rhinoceros/rhinoceros_09s.jpg,0.03500000042840838
155,00155_sandal/sandal_03s.jpg,0.03500000033527613
114,00114_metal_detector/metal_detector_02s.jpg,0.0337500006891787
192,00192_vise/vise_11s.jpg,0.033750000316649674
109,00109_lettuce/lettuce_05n.jpg,0.033750000223517415
41,00041_chime/chime_08s.jpg,0.032500000670552254
118,00118_muff/muff_12s.jpg,0.032500000670552254
140,00140_popcorn/popcorn_07s.jpg,0.032500000484287736
138,00138_pocket/pocket_04s.jpg,0.02875000098720193
174,00174_strawberry/strawberry_09n.jpg,0.028750000707805156
44,00044_cleaver/cleaver_07s.jpg,0.028750000428408383
75,00075_ferry/ferry_06s.jpg,0.028750000149011613
135,00135_pie/pie_18s.jpg,0.028749999962747096
117,00117_mosquito/mosquito_02s.jpg,0.027500000689178704
147,00147_radish/radish_10s.jpg,0.027500000689178704
134,00134_pickax/pickax_05s.jpg,0.027500000223517417
181,00181_television/television_12s.jpg,0.026250000577419996
153,00153_rug/rug_09s.jpg,0.026250000484287737
129,00129_panther/panther_01b.jpg,0.026250000391155482
18,00018_bok_choy/bok_choy_03s.jpg,0.026250000298023223
177,00177_t-shirt/t-shirt_15s.jpg,0.026249999925494195
58,00058_crow/crow_11s.jpg,0.023750000447034837
1,00001_aircraft_carrier/aircraft_carrier_06s.jpg,0.023750000260770322
50,00050_cookie/cookie_09s.jpg,0.023750000260770322
196,00196_wheat/wheat_05n.jpg,0.023750000260770322
165,00165_sled/sled_10s.jpg,0.0225000006146729
17,00017_boat/boat_01b.jpg,0.022500000521540643
186,00186_tool/tool_10s.jpg,0.021250000689178705
